bat_mxn,Porcentage,Time
6.65,0.0,03:04:54
6.65,0.0,03:05:27
6.65,0.0,03:06:00
6.65,0.0,03:06:33
6.65,0.0,03:07:06
6.65,0.0,03:07:39
6.65,0.0,03:08:12
6.65,0.0,03:08:45
6.65,0.0,03:09:19
6.65,0.0,03:09:52
6.65,0.0,03:10:24
6.65,0.0,03:10:57
6.65,0.0,03:11:30
6.65,0.0,03:12:03
6.65,0.0,03:12:36
6.65,0.0,03:13:10
6.65,0.0,03:13:43
6.65,0.0,03:14:15
6.65,0.0,03:14:49
6.65,0.0,03:15:22
6.65,0.0,03:15:55
6.65,0.0,03:16:28
6.65,0.0,03:17:01
6.65,0.0,03:17:35
6.65,0.0,03:18:08
6.65,0.0,03:18:41
6.65,0.0,03:19:15
6.65,0.0,03:19:48
6.65,0.0,03:20:21
6.65,0.0,03:20:55
6.65,0.0,03:21:28
6.65,0.0,03:22:01
6.66,0.15037594,03:22:35
6.66,0.0,03:23:08
6.66,0.0,03:23:41
6.66,0.0,03:24:15
6.66,0.0,03:24:48
6.66,0.0,03:25:22
6.66,0.0,03:25:55
6.66,0.0,03:26:28
6.66,0.0,03:27:02
6.66,0.0,03:27:35
6.66,0.0,03:28:08
6.66,0.0,03:28:41
6.66,0.0,03:29:14
6.66,0.0,03:29:48
6.66,0.0,03:30:21
6.66,0.0,03:30:54
6.66,0.0,03:31:27
6.66,0.0,03:32:00
6.66,0.0,03:32:33
6.66,0.0,03:33:07
6.66,0.0,03:33:40
6.66,0.0,03:34:13
6.66,0.0,03:34:46
6.66,0.0,03:35:19
6.66,0.0,03:35:52
6.66,0.0,03:36:25
6.66,0.0,03:36:58
6.66,0.0,03:37:30
6.66,0.0,03:38:04
6.66,0.0,03:38:37
6.66,0.0,03:39:10
6.66,0.0,03:39:42
6.66,0.0,03:40:15
6.66,0.0,03:40:49
6.66,0.0,03:41:22
6.66,0.0,03:41:55
6.66,0.0,03:42:28
6.66,0.0,03:43:02
6.66,0.0,03:43:34
6.66,0.0,03:44:07
6.66,0.0,03:44:40
6.66,0.0,03:45:13
6.66,0.0,03:45:46
6.66,0.0,03:46:18
6.66,0.0,03:46:52
6.66,0.0,03:47:25
6.66,0.0,03:47:57
6.66,0.0,03:48:31
6.66,0.0,03:49:04
6.66,0.0,03:49:37
6.66,0.0,03:50:10
6.66,0.0,03:50:43
6.66,0.0,03:51:16
6.66,0.0,03:51:50
6.66,0.0,03:52:22
6.66,0.0,03:52:55
6.66,0.0,03:53:28
6.66,0.0,03:54:02
