xrp_mxn,Porcentage,Time
8.26,0.0,05:41:56
8.26,0.0,05:42:29
8.26,0.0,05:43:03
8.26,0.0,05:43:36
8.26,0.0,05:44:10
8.26,0.0,05:44:43
8.26,0.0,05:45:16
8.26,0.0,05:45:49
8.26,0.0,05:46:22
8.26,0.0,05:46:56
8.26,0.0,05:47:29
8.26,0.0,05:48:03
8.26,0.0,05:48:35
8.26,0.0,05:49:08
8.26,0.0,05:49:41
8.26,0.0,05:50:15
8.26,0.0,05:50:48
8.26,0.0,05:51:21
8.26,0.0,05:51:54
8.26,0.0,05:52:27
8.26,0.0,05:53:00
8.26,0.0,05:53:33
8.26,0.0,05:54:06
8.26,0.0,05:54:39
8.26,0.0,05:55:12
8.13,-1.57384988,05:55:45
8.13,0.0,05:56:18
8.11,-0.24600246,05:56:50
8.11,0.0,05:57:24
8.11,0.0,05:57:57
8.11,0.0,05:58:30
8.11,0.0,05:59:03
8.11,0.0,05:59:36
8.11,0.0,06:00:09
8.11,0.0,06:00:42
8.11,0.0,06:01:15
8.11,0.0,06:01:48
8.11,0.0,06:02:22
8.11,0.0,06:02:55
8.11,0.0,06:03:28
8.11,0.0,06:04:01
8.11,0.0,06:04:34
8.11,0.0,06:05:07
8.11,0.0,06:05:39
8.12,0.12330456,06:06:13
8.12,0.0,06:06:46
8.12,0.0,06:07:19
8.12,0.0,06:07:52
8.12,0.0,06:08:25
8.25,1.60098522,06:08:58
8.25,0.0,06:09:31
8.25,0.0,06:10:04
8.25,0.0,06:10:37
8.25,0.0,06:11:10
8.25,0.0,06:11:43
8.25,0.0,06:12:15
8.25,0.0,06:12:49
8.25,0.0,06:13:22
8.25,0.0,06:13:55
8.25,0.0,06:14:28
8.1,-1.81818182,06:15:01
8.1,0.0,06:15:34
8.1,0.0,06:16:07
8.1,0.0,06:16:40
8.1,0.0,06:17:14
8.1,0.0,06:17:47
8.1,0.0,06:18:21
8.1,0.0,06:18:54
8.1,0.0,06:19:27
8.1,0.0,06:20:00
8.1,0.0,06:20:33
8.1,0.0,06:21:05
8.1,0.0,06:21:38
8.1,0.0,06:22:12
8.1,0.0,06:22:45
8.1,0.0,06:23:19
8.1,0.0,06:23:52
8.1,0.0,06:24:24
8.1,0.0,06:24:57
8.1,0.0,06:25:31
8.1,0.0,06:26:04
8.1,0.0,06:26:37
8.1,0.0,06:27:10
8.1,0.0,06:27:43
8.1,0.0,06:28:16
8.1,0.0,06:28:49
8.1,0.0,06:29:22
8.1,0.0,06:29:55
8.1,0.0,06:30:29
