mana_mxn,Porcentage,Time
1.09,0.0,06:10:34
1.09,0.0,06:11:08
1.09,0.0,06:11:41
1.09,0.0,06:12:15
1.09,0.0,06:12:49
1.09,0.0,06:13:22
1.09,0.0,06:13:56
1.09,0.0,06:14:29
1.09,0.0,06:15:03
1.09,0.0,06:15:36
1.09,0.0,06:16:09
1.09,0.0,06:16:43
1.09,0.0,06:17:16
1.09,0.0,06:17:50
1.09,0.0,06:18:23
1.09,0.0,06:18:57
1.09,0.0,06:19:32
1.09,0.0,06:20:05
1.09,0.0,06:20:39
1.09,0.0,06:21:13
1.09,0.0,06:21:46
1.09,0.0,06:22:20
1.09,0.0,06:22:53
1.09,0.0,06:23:27
1.09,0.0,06:24:00
1.09,0.0,06:24:34
1.09,0.0,06:25:08
1.09,0.0,06:25:41
1.09,0.0,06:26:14
1.09,0.0,06:26:48
1.09,0.0,06:27:22
1.09,0.0,06:27:55
1.09,0.0,06:28:29
1.09,0.0,06:29:02
1.09,0.0,06:29:36
1.09,0.0,06:30:09
1.09,0.0,06:30:43
1.09,0.0,06:31:16
1.09,0.0,06:31:50
1.09,0.0,06:32:23
1.09,0.0,06:32:57
1.09,0.0,06:33:30
1.09,0.0,06:34:04
1.09,0.0,06:34:37
1.09,0.0,06:35:10
1.09,0.0,06:35:44
1.09,0.0,06:36:17
1.09,0.0,06:36:50
1.09,0.0,06:37:24
1.09,0.0,06:37:57
1.09,0.0,06:38:31
1.09,0.0,06:39:04
1.09,0.0,06:39:38
1.09,0.0,06:40:12
1.09,0.0,06:40:45
1.09,0.0,06:41:21
1.09,0.0,06:41:55
1.09,0.0,06:42:28
1.09,0.0,06:43:02
1.09,0.0,06:43:35
1.09,0.0,06:44:09
1.09,0.0,06:44:42
1.09,0.0,06:45:16
1.09,0.0,06:45:49
1.09,0.0,06:46:23
1.09,0.0,06:46:56
1.06,-2.75229358,06:47:30
1.06,0.0,06:48:03
1.09,2.83018868,06:48:36
1.05,-3.66972477,06:49:10
1.05,0.0,06:49:43
1.05,0.0,06:50:17
1.05,0.0,06:50:50
1.05,0.0,06:51:24
1.05,0.0,06:51:57
1.05,0.0,06:52:30
1.05,0.0,06:53:04
1.05,0.0,06:53:37
1.05,0.0,06:54:11
1.05,0.0,06:54:44
1.05,0.0,06:55:18
1.05,0.0,06:55:51
1.05,0.0,06:56:25
1.05,0.0,06:56:58
1.05,0.0,06:57:31
1.05,0.0,06:58:05
1.05,0.0,06:58:39
1.05,0.0,06:59:12
1.05,0.0,06:59:46
1.05,0.0,07:00:19
1.05,0.0,07:00:52
1.05,0.0,07:01:26
1.05,0.0,07:01:59
1.05,0.0,07:02:33
1.05,0.0,07:03:06
1.05,0.0,07:03:40
1.05,0.0,07:04:14
1.05,0.0,07:04:47
1.05,0.0,07:05:21
1.05,0.0,07:05:55
1.1,4.76190476,07:06:28
1.1,0.0,07:07:02
1.1,0.0,07:07:35
1.08,-1.81818182,07:08:09
1.08,0.0,07:08:41
1.08,0.0,07:09:14
1.08,0.0,07:09:48
1.08,0.0,07:10:21
1.08,0.0,07:10:54
1.08,0.0,07:11:27
1.08,0.0,07:12:01
1.08,0.0,07:12:34
1.08,0.0,07:13:08
1.08,0.0,07:13:41
1.08,0.0,07:14:15
1.08,0.0,07:14:49
1.08,0.0,07:15:22
1.08,0.0,07:15:56
1.08,0.0,07:16:29
1.08,0.0,07:17:04
1.08,0.0,07:17:37
1.08,0.0,07:18:11
1.08,0.0,07:18:44
1.08,0.0,07:19:18
1.08,0.0,07:19:51
1.08,0.0,07:20:25
1.08,0.0,07:20:58
1.08,0.0,07:21:32
1.08,0.0,07:22:05
1.08,0.0,07:22:39
1.08,0.0,07:23:12
1.08,0.0,07:23:46
1.08,0.0,07:24:19
1.08,0.0,07:24:53
1.08,0.0,07:25:26
1.08,0.0,07:25:59
1.08,0.0,07:26:33
1.08,0.0,07:27:07
1.08,0.0,07:27:40
1.08,0.0,07:28:13
1.05,-2.77777778,07:28:47
1.05,0.0,07:29:20
1.05,0.0,07:29:53
1.05,0.0,07:30:27
1.05,0.0,07:31:00
1.08,2.85714286,07:31:34
1.08,0.0,07:32:07
1.08,0.0,07:32:41
1.08,0.0,07:33:14
1.08,0.0,07:33:47
1.08,0.0,07:34:21
1.08,0.0,07:34:54
1.08,0.0,07:35:28
1.08,0.0,07:36:01
1.08,0.0,07:36:35
1.08,0.0,07:37:08
1.08,0.0,07:37:41
1.08,0.0,07:38:14
1.08,0.0,07:38:48
1.08,0.0,07:39:21
1.08,0.0,07:39:55
1.08,0.0,07:40:28
1.08,0.0,07:41:02
1.08,0.0,07:41:35
1.08,0.0,07:42:09
1.08,0.0,07:42:42
1.08,0.0,07:43:15
1.08,0.0,07:43:49
1.08,0.0,07:44:22
1.08,0.0,07:44:55
1.08,0.0,07:45:29
1.08,0.0,07:46:02
1.08,0.0,07:46:36
1.08,0.0,07:47:09
1.08,0.0,07:47:43
1.08,0.0,07:48:16
1.08,0.0,07:48:50
1.08,0.0,07:49:23
1.08,0.0,07:49:57
1.08,0.0,07:50:30
1.06,-1.85185185,07:51:04
1.06,0.0,07:51:37
1.06,0.0,07:52:11
1.06,0.0,07:52:44
1.06,0.0,07:53:18
1.06,0.0,07:53:51
1.06,0.0,07:54:24
1.06,0.0,07:54:58
1.06,0.0,07:55:32
1.06,0.0,07:56:05
1.06,0.0,07:56:39
1.06,0.0,07:57:12
1.06,0.0,07:57:46
1.06,0.0,07:58:20
1.06,0.0,07:58:53
1.06,0.0,07:59:27
1.06,0.0,08:00:01
1.06,0.0,08:00:34
1.06,0.0,08:01:07
1.06,0.0,08:01:41
1.06,0.0,08:02:14
1.08,1.88679245,08:02:48
1.06,-1.85185185,08:03:21
1.06,0.0,08:03:55
1.06,0.0,08:04:29
1.06,0.0,08:05:02
1.06,0.0,08:05:35
1.06,0.0,08:06:09
1.06,0.0,08:06:43
1.06,0.0,08:07:16
1.06,0.0,08:07:50
1.06,0.0,08:08:24
1.06,0.0,08:08:57
1.06,0.0,08:09:30
1.06,0.0,08:10:04
1.06,0.0,08:10:38
1.07,0.94339623,08:11:11
1.07,0.0,08:11:45
1.07,0.0,08:12:18
1.07,0.0,08:12:52
1.07,0.0,08:13:25
1.07,0.0,08:13:59
1.07,0.0,08:14:33
1.07,0.0,08:15:06
1.07,0.0,08:15:40
1.07,0.0,08:16:13
1.07,0.0,08:16:47
1.07,0.0,08:17:20
1.07,0.0,08:17:53
1.07,0.0,08:18:27
1.07,0.0,08:19:00
1.07,0.0,08:19:34
1.07,0.0,08:20:08
1.07,0.0,08:20:41
1.07,0.0,08:21:15
1.07,0.0,08:21:48
1.07,0.0,08:22:22
1.07,0.0,08:22:55
1.07,0.0,08:23:29
1.06,-0.93457944,08:24:02
1.06,0.0,08:24:36
1.06,0.0,08:25:09
1.06,0.0,08:25:43
1.06,0.0,08:26:16
1.06,0.0,08:26:50
1.07,0.94339623,08:27:24
1.07,0.0,08:27:57
1.07,0.0,08:28:31
1.07,0.0,08:29:04
1.07,0.0,08:29:38
1.06,-0.93457944,08:30:11
1.06,0.0,08:30:45
1.06,0.0,08:31:18
1.06,0.0,08:31:52
1.06,0.0,08:32:26
1.06,0.0,08:32:59
1.06,0.0,08:33:33
1.06,0.0,08:34:06
1.06,0.0,08:34:39
1.06,0.0,08:35:13
1.06,0.0,08:35:46
1.06,0.0,08:36:20
1.06,0.0,08:36:53
1.06,0.0,08:37:27
1.06,0.0,08:38:01
1.06,0.0,08:38:34
1.06,0.0,08:39:08
1.06,0.0,08:39:41
1.06,0.0,08:40:15
1.06,0.0,08:40:48
1.06,0.0,08:41:22
1.06,0.0,08:41:55
1.06,0.0,08:42:29
1.06,0.0,08:43:02
1.05,-0.94339623,08:43:36
1.05,0.0,08:44:09
1.05,0.0,08:44:43
1.05,0.0,08:45:16
1.05,0.0,08:45:50
1.05,0.0,08:46:23
1.05,0.0,08:46:57
1.05,0.0,08:47:30
1.05,0.0,08:48:04
1.05,0.0,08:48:37
1.05,0.0,08:49:11
1.05,0.0,08:49:44
1.05,0.0,08:50:18
1.05,0.0,08:50:51
1.05,0.0,08:51:25
1.05,0.0,08:51:58
1.05,0.0,08:52:32
1.05,0.0,08:53:05
1.05,0.0,08:53:39
1.06,0.95238095,08:54:12
1.04,-1.88679245,08:54:46
1.04,0.0,08:55:23
1.04,0.0,08:55:56
1.04,0.0,08:56:30
1.04,0.0,08:57:04
1.04,0.0,08:57:37
1.04,0.0,08:58:10
1.04,0.0,08:58:44
1.04,0.0,08:59:18
1.04,0.0,08:59:52
1.04,0.0,09:00:25
1.04,0.0,09:00:59
1.04,0.0,09:01:32
1.04,0.0,09:02:06
1.04,0.0,09:02:39
1.04,0.0,09:03:13
1.04,0.0,09:03:46
1.04,0.0,09:04:20
1.04,0.0,09:04:53
1.04,0.0,09:05:27
1.04,0.0,09:06:00
